max_elev,vol_gt_max,jurisdiction,awrc,min_elev,daily_min,gap_filled,area,water_year_short,station,location,data_owner_code,daily_max,annual_average_depth,end_date,data_owner,water_year,station_status,start_date,length,local_id,daily_average,annual_average_vol,elev_range,river,annual_cv
1275,8.85,NSW,204002,114,0,2.13,4538,Mar to Feb,Tabulam,"152.560&deg;E, 28.890&deg;S",w00077,490526,163,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,09-07-1965,167,204002,2022,738,1161,Clarence River,0.97
1560,0.9,NSW,204007,12,0,1.85,16953,Mar to Feb,Lilydale (Newbold Crossing,"152.680&deg;E, 29.510&deg;S",w00077,1318980,191,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,14-08-1971,329,204007,8792,3230,1548,Clarence River,0.73
1509,16.6,NSW,204014,387,0,1.85,888.6,Mar to Feb,Mitchell,"152.105&deg;E, 29.695&deg;S",w00077,81588,107,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,11-05-1972,72,204014,264,95.1,1122,Mann River,0.87
973,0.75,NSW,204017,617,5,0.34,76,Mar to Feb,Dorrigo No.2 and No.3,"152.714&deg;E, 30.307&deg;S",w00077,34048,1261,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,19-08-1971,20,204017,260,95.8,356,Bielsdown Creek,0.46
896,10.43,NSW,204025,104,0,2.28,135.8,Mar to Feb,Karangi,"153.032&deg;E, 30.254&deg;S",w00077,38020,745,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,02-11-1969,27,204025,275,101,792,Orara River,0.61
1461,21.38,NSW,204030,1127,0,0.73,208.6,Mar to Feb,Aberfoyle,"152.008&deg;E, 30.260&deg;S",w00077,4446,75,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,31-08-1977,34,204030,42.8,15.7,334,Aberfoyle River,0.87
1163,20.87,NSW,204036,579,0,2.94,236.5,Mar to Feb,Sandy Hill (below Snake Ck),"152.217&deg;E, 28.934&deg;S",w00077,34910,226,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,16-03-1952,37,204036,145,53.3,584,Cataract Creek,0.83
1064,7.46,NSW,204037,581,0,0.78,63.3,Mar to Feb,Clouds Ck,"152.628&deg;E, 30.094&deg;S",w00077,10580,237,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,18-02-1971,19,204037,41.2,15,483,Clouds Creek,0.86
1074,5.95,NSW,204039,475,0,4.07,376.7,Mar to Feb,D/S Wylie Ck,"152.198&deg;E, 28.468&deg;S",w00077,34266,80,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,10-03-1979,46,204039,80.6,30,599,Maryland River,1.42
896,0,NSW,204041,18,0,2.39,1807,Mar to Feb,Bawden Br,"152.809&deg;E, 29.724&deg;S",w00077,192788,422,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,01-07-1960,104,204041,2066,763,878,Orara River,0.67
1508,15.35,NSW,204046,202,0,0.76,1723,Mar to Feb,Drake,"152.385&deg;E, 29.057&deg;S",w00077,147594,188,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,09-07-1969,101,204046,879,324,1306,Timbarra River,0.79
1275,17.06,NSW,204051,178,0,1.1,3111,Mar to Feb,Paddys Flat,"152.417&deg;E, 28.721&deg;S",w00077,308458,123,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,28-03-1976,137,204051,1040,382,1097,Clarence River,1.09
1180,6.18,NSW,204056,72,0,0.36,109.7,Mar to Feb,Gibraltar Range,"152.446&deg;E, 29.486&deg;S",w00077,23909,636,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,25-05-1975,25,204056,194,69.8,1108,Dandahra Creek,0.67
896,0,NSW,204906,58,3,0.92,430.6,Mar to Feb,Glenreagh,"152.980&deg;E, 30.070&deg;S",w00077,72746,542,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,16-11-1972,50,204906,638,234,838,Orara River,0.66
1431,2.02,NSW,206009,1045,0,1.13,265.2,Mar to Feb,Tia,"151.829&deg;E, 31.188&deg;S",w00077,13577,191,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,22-01-1954,39,206009,139,50.8,386,Tia River,0.69
1472,0,NSW,206014,908,0,1.23,377.4,Mar to Feb,Coninside,"152.029&deg;E, 30.476&deg;S",w00077,26545,83,28-02-2019,NSW Department of Industry Lands and Water,March to February,Existing,24-06-1954,65,206014,87,31.5,564,Wollomombi River,0.92
1330,3.99,NSW,206018,899,0,0.64,851.9,Mar to Feb,Apsley Falls,"151.766&deg;E, 31.051&deg;S",w00077,27659,54,28-02-2019,NSW Department of Industry Lands and Water,March to February,Existing,30-03-1960,77,206018,124,45.7,431,Apsley River,0.96
1286,19.41,NSW,206025,950,0,1.49,647.6,Mar to Feb,near Dangar Falls,"151.713&deg;E, 30.681&deg;S",w00077,25272,41,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,31-12-1972,61,206025,72,26.4,336,Salisbury Waters River,1.31
1244,4.09,NSW,207004,52,0,1.36,1583,Mar to Feb,Ellenborough (Kindee Bridge),"152.470&deg;E, 31.424&deg;S",w00077,171322,376,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,31-08-1972,97,207004,1664,595,1192,Hastings River,0.65
963,1.84,NSW,207013,69,2,1.86,497.8,Mar to Feb,D/S Bunnoo R Junction,"152.448&deg;E, 31.481&deg;S",w00077,68811,328,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,28-03-1975,54,207013,454,163,894,Ellenborough River,0.64
1223,5.77,NSW,207014,9,0,0.83,508,Mar to Feb,Avenel,"152.740&deg;E, 31.333&deg;S",w00077,87748,431,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,13-05-1984,54,207014,600,219,1214,Wilson River,0.7
1208,10.64,NSW,207015,159,3,0,351.7,Mar to Feb,Mount Seaview,"152.244&deg;E, 31.371&deg;S",w00077,45751,351,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,02-06-1984,45,207015,337,123,1049,Hastings River,0.78
1585,5.74,NSW,208003,46,0,1.51,1631,Mar to Feb,Doon Ayre,"152.096&deg;E, 31.898&deg;S",w00077,158869,356,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,01-01-1950,99,208003,1585,580,1539,Gloucester River,0.66
1585,3.32,NSW,208004,16,0,3.36,6642,Mar to Feb,Killawarra,"152.310&deg;E, 31.920&deg;S",w00077,532682,272,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,01-01-1950,203,208004,4940,1810,1569,Manning River,0.85
1436,21.31,NSW,208005,66,0,1.92,1894,Mar to Feb,Rocks Crossing,"152.075&deg;E, 31.779&deg;S",w00077,116303,252,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,01-01-1950,106,208005,1303,478,1370,Nowendoc River,0.94
1436,1.6,NSW,208007,836,0,2.14,221.1,Mar to Feb,Nowendoc,"151.716&deg;E, 31.516&deg;S",w00077,15247,288,28-02-2019,NSW Department of Industry Lands and Water,March to February,Existing,01-01-1950,33,208007,174,63.7,600,Nowendoc River,0.79
1410,13.3,NSW,208009,596,0,3.81,152.1,Mar to Feb,Barry,"151.315&deg;E, 31.580&deg;S",w00077,30334,298,28-02-2019,NSW Department of Industry Lands and Water,March to February,Existing,01-01-1950,25,208009,124,45.3,814,Barnard River,0.71
1410,5.99,NSW,208011,106,0,1.97,1821,Mar to Feb,Mackay,"151.900&deg;E, 31.770&deg;S",w00077,65184,139,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,03-02-1965,104,208011,689,252,1304,Barnard River,0.74
821,14.48,NSW,208015,11,0,1.45,98.1,Mar to Feb,Landsdowne,"152.513&deg;E, 31.789&deg;S",w00077,31594,586,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,25-06-1969,23,208015,159,57.5,810,Landsdowne River,0.67
1410,14.54,NSW,208024,529,0,3.1,282.3,Mar to Feb,D/S Back R Jctn,"151.340&deg;E, 31.560&deg;S",w00077,8505,204,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,03-04-1982,40,208024,154,57.6,881,Barnard River,0.72
1370,25.05,NSW,208026,202,0,1.11,546.4,Mar to Feb,Jacky Barkers,"151.734&deg;E, 31.642&deg;S",w00077,27974,190,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,05-05-1984,56,208026,287,104,1168,Myall River,0.82
656,0,NSW,209002,81,0,3.04,158.1,Mar to Feb,Crossing,"151.978&deg;E, 32.245&deg;S",w00077,23608,317,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,19-12-1967,30,209002,139,50.2,575,Mammy Johnsons River,0.8
1048,12.26,NSW,209003,12,0,2.05,974.3,Mar to Feb,Booral,"151.960&deg;E, 32.480&deg;S",w00077,180938,277,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,27-10-1968,76,209003,732,270,1036,Karuah River,0.65
1507,17.11,NSW,210011,92,0,1.25,196.4,Mar to Feb,Tillegra,"151.688&deg;E, 32.319&deg;S",w00077,56174,502,28-02-2019,NSW Department of Industry Lands and Water,March to February,Existing,01-01-1950,55,210011,269,98.6,1415,William River,0.67
1408,2.86,NSW,210014,214,0,1.92,399.7,Mar to Feb,Rouchel Brook (The Vale),"151.047&deg;E, 32.153&deg;S",w00077,31801,129,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,16-02-1959,48,210014,141,51.4,1194,Rouchel Brook River,0.84
1240,15.96,NSW,210016,160,0,6.84,4982,Mar to Feb,Kerrabee,"150.320&deg;E, 32.420&deg;S",w00077,170879,27,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,01-01-1950,175,210016,372,133,1080,Goulburn River,1.22
1563,8.66,NSW,210017,462,0,5.84,105,Mar to Feb,Moonan Brook,"151.280&deg;E, 31.944&deg;S",w00077,9111,297,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,01-01-1950,24,210017,85.2,31.2,1101,Moonan Brook River,0.59
1534,1.16,NSW,210022,122,0,1.28,188.5,Mar to Feb,Halton,"151.512&deg;E, 32.308&deg;S",w00077,34073,483,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,01-01-1950,32,210022,248,91,1412,Allyn River,0.62
1258,9.13,NSW,210031,116,0,2.26,6818,Mar to Feb,Sandy Hollow,"150.570&deg;E, 32.350&deg;S",w00077,391529,23,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,23-11-1954,206,210031,465,159,1142,Goulburn River,1.13
1052,1.54,NSW,210040,137,0,3.82,670.8,Mar to Feb,Wybong,"150.635&deg;E, 32.271&deg;S",w00077,25000,37,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,15-06-1955,62,210040,71.4,24.7,915,Wybong Creek,1.03
1418,4.9,NSW,210052,229,0,8.6,1069,Mar to Feb,Gundy Recorder,"150.996&deg;E, 32.012&deg;S",w00077,70297,58,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,26-09-1958,79,210052,171,62.2,1189,Pages River,0.9
538,16.51,NSW,211009,10,0,1.22,237.6,Mar to Feb,Gracemere,"151.359&deg;E, 33.272&deg;S",w00077,31664,222,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,26-12-1972,37,211009,145,52.7,528,Wyong River,0.9
380,10.36,NSW,211013,19,0,0.65,82.3,Mar to Feb,U/S Weir,"151.343&deg;E, 33.350&deg;S",w00077,9571,248,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,14-11-1976,21,211013,55.6,20.4,361,Ourimbah Creek,0.76
538,13.89,NSW,211014,20,0,0.71,180.4,Mar to Feb,Yarramalong,"151.273&deg;E, 33.220&deg;S",w00077,24194,197,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,11-11-1976,32,211014,96.5,35.5,518,Wyong River,0.94
997,12.78,NSW,212040,740,0,2.14,92.7,Mar to Feb,Pomeroy,"149.543&deg;E, 34.609&deg;S",w00077,16015,88,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,09-06-1979,23,212040,22.1,8.18,257,Kialla Creek,1.26
823,1.31,NSW,212209,536,0,3.74,67.4,Mar to Feb,Maguires Crossing,"150.534&deg;E, 34.477&deg;S",w00231,15507,602,28-02-2019,NSW Water,March to February,Existing,06-02-1970,22,212209,111,40.6,287,Nepean River,0.62
1348,0.96,NSW,212260,160,0,1.95,713,Mar to Feb,Cedar Ford,"150.244&deg;E, 33.947&deg;S",w00231,63743,195,28-02-2019,NSW Water,March to February,Existing,19-05-1968,86,212260,378,139,1188,Kowmung River,0.77
915,2.42,NSW,215004,515,0,3.32,165.6,Mar to Feb,Hockeys,"150.033&deg;E, 35.147&deg;S",w00077,34136,370,28-02-2019,NSW Department of Industry Lands and Water,March to February,Existing,01-01-1950,31,215004,168,61.3,400,Corang River,0.76
1317,14.91,NSW,215207,223,0,1.22,4660,Mar to Feb,Fossickers Flat,"150.183&deg;E, 34.822&deg;S",w00231,365874,119,28-02-2019,NSW Water,March to February,Existing,16-07-1977,251,215207,1506,556,1094,Shoalhaven river,0.87
1130,24.32,NSW,216002,19,0,2.91,859,Mar to Feb,Brooman,"150.236&deg;E, 35.468&deg;S",w00077,278450,448,28-02-2019,NSW Department of Industry Lands and Water,March to February,Existing,09-07-1960,62,216002,1060,384,1111,Clyde River,1.12
1024,19.89,NSW,216009,44,0,0.32,165.5,Mar to Feb,Buckenbowra No.3,"150.034&deg;E, 35.714&deg;S",w00077,23396,190,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,20-04-1985,30,216009,89.1,31.4,980,BuCreekenbowra River,0.89
1303,22.04,NSW,218001,936,0,0,90.6,Mar to Feb,Tuross Vale,"149.510&deg;E, 36.265&deg;S",w00077,10393,281,28-02-2019,NSW Department of Industry Lands and Water,March to February,Existing,12-11-1970,23,218001,71.3,25.5,367,Tuross River,0.87
1336,4.23,NSW,218005,65,0,0.01,918,Mar to Feb,D/S Wadbilliga R Junction,"149.761&deg;E, 36.197&deg;S",w00077,112860,251,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,12-06-1964,73,218005,628,230,1271,Tuross River,1.13
1336,20.47,NSW,218007,211,0,0.02,120.2,Mar to Feb,Wadbilliga,"149.691&deg;E, 36.259&deg;S",w00077,18384,268,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,14-06-1974,26,218007,89.3,32.2,1125,Wadbilliga River,0.89
1336,16.1,NSW,218008,11,0,0.5,1607,Mar to Feb,Eurobodalla,"150.000&deg;E, 36.130&deg;S",w00077,161248,166,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,15-04-1977,98,218008,717,266,1325,Tuross River,1.05
1242,3.16,NSW,219001,833,0,0.03,14.4,Mar to Feb,Brown Mountain,"149.442&deg;E, 36.593&deg;S",w00077,6588,526,28-02-2019,NSW Department of Industry Lands and Water,March to February,Existing,01-01-1950,7,219001,20.8,7.57,409,Rutherford Creek,0.93
1241,8.01,NSW,219003,98,1,0,313.7,Mar to Feb,Morans Crossing,"149.647&deg;E, 36.667&deg;S",w00077,61471,331,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,01-01-1950,42,219003,286,104,1143,Bemboka River,0.91
962,18.01,NSW,219006,477,0,0.06,83.1,Mar to Feb,Tantawangalo Mountain Dam,"149.540&deg;E, 36.780&deg;S",w00077,15033,303,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,19-02-1951,21,219006,69.3,25.2,485,Tantawangalo Creek,0.97
936,10.15,NSW,219017,46,0,0.04,151.9,Mar to Feb,near Brogo,"149.809&deg;E, 36.600&deg;S",w00077,43360,213,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,09-07-1966,29,219017,88.7,32.3,890,Double Creek,1.06
963,16.04,NSW,219022,94,0,0.32,200.1,Mar to Feb,Candelo Dam Site,"149.684&deg;E, 36.732&deg;S",w00077,25713,193,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,01-12-1971,34,219022,105,38.5,869,Tantawangalo Creek,1.03
702,13.65,NSW,220003,20,0,0,105.6,Mar to Feb,Lochiel,"149.819&deg;E, 36.941&deg;S",w00077,18156,209,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,02-09-1966,24,220003,60.9,22.1,682,Pambula River,1.04
880,6.71,NSW,221002,26,0,0.79,477.2,Mar to Feb,Princes HWY,"149.713&deg;E, 37.372&deg;S",w00077,61694,185,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,01-12-1971,52,221002,241,88.2,854,Wallagaraugh River,1.11
1302,3.6,NSW,222004,709,0,0.01,610.5,Mar to Feb,Wellesley (Rowes),"149.093&deg;E, 36.997&deg;S",w00077,24789,152,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,01-01-1950,59,222004,253,92.6,593,Little Plains River,0.84
1778,1.11,NSW,222016,270,1,1.65,156.4,Mar to Feb,The Barry Way,"148.403&deg;E, 36.794&deg;S",w00077,3663,315,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,19-03-1975,30,222016,138,49.2,1508,Pinch River,0.33
1324,1.42,NSW,401009,376,0,0.83,217.3,Mar to Feb,Maragle,"148.101&deg;E, 35.927&deg;S",w00077,4646,157,28-02-2019,NSW Department of Industry Lands and Water,March to February,Existing,01-01-1950,36,401009,93.5,34.2,948,Maragle Creek,0.72
2182,0.32,NSW,401012,316,37,1.13,1257,Mar to Feb,Biggara,"148.052&deg;E, 36.319&deg;S",w00077,22523,361,28-02-2019,NSW Department of Industry Lands and Water,March to February,Existing,01-03-1968,116,401012,1243,454,1866,Murray River,0.45
932,0.7,NSW,401013,220,0,0.41,395,Mar to Feb,Jingellic,"147.692&deg;E, 35.897&deg;S",w00077,16411,128,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,09-11-1972,48,401013,138,50.7,712,Jingellic Creek,0.73
662,14.79,NSW,401015,199,0,0.44,290.1,Mar to Feb,Yambla,"146.975&deg;E, 35.916&deg;S",w00077,5722,36,28-02-2019,NSW Department of Industry Lands and Water,March to February,Existing,18-12-1973,19,401015,29,10.3,463,Bowna Creek,1.21
1299,7.39,NSW,401016,323,0,6.18,50.7,Mar to Feb,The Square,"148.120&deg;E, 36.040&deg;S",w00077,489,148,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,17-06-1983,17,401016,20.7,7.48,976,Welumba Creek,0.71
780,1.18,NSW,401017,504,0,1.58,194.3,Mar to Feb,Yarramundi,"147.930&deg;E, 35.770&deg;S",w00077,9550,189,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,08-07-1983,33,401017,103,36.8,276,Mannus Creek,0.69
1887,0.54,NSW,410024,392,17,0.03,990,Mar to Feb,Wee Jasper (Kashmir),"148.685&deg;E, 35.167&deg;S",w00077,51074,302,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,01-01-1950,76,410024,818,299,1495,Goodradigbee River,0.62
942,1.42,NSW,410026,478,0,3.4,1229,Mar to Feb,Yass,"148.910&deg;E, 34.837&deg;S",w00077,54829,55,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,16-02-1961,85,410026,183,67,464,Yass River,0.97
1870,8.32,NSW,410033,743,0,0,1890,Mar to Feb,Mittagang Crossing,"149.090&deg;E, 36.170&deg;S",w00077,38352,66,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,01-03-1964,106,410033,343,126,1127,Murrumbidgee River,0.73
1212,0.93,NSW,410038,243,0,1.89,390.9,Mar to Feb,Darbalara,"148.246&deg;E, 35.019&deg;S",w00077,10452,197,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,02-06-1967,47,410038,209,77.1,969,Adjungbilly Creek,0.55
734,1.31,NSW,410044,235,0,8.12,1072,Mar to Feb,Coolac,"148.162&deg;E, 34.932&deg;S",w00077,21155,43,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,02-12-1950,79,410044,125,45.9,499,Muttama Creek,1.22
1068,0.88,NSW,410047,189,0,3.75,1653,Mar to Feb,Old Borambola,"147.654&deg;E, 35.164&deg;S",w00077,28542,93,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,08-04-1961,99,410047,418,154,879,Tarcutta Creek,0.76
1716,0.34,NSW,410057,299,11,0.04,667.9,Mar to Feb,Lacmalac,"148.348&deg;E, 35.329&deg;S",w00077,29073,392,28-02-2019,NSW Department of Industry Lands and Water,March to February,Existing,25-05-1957,50,410057,713,262,1417,Goobarragandra River,0.48
1000,0,NSW,410061,350,0,0.01,146.1,Mar to Feb,Batlow Road,"148.069&deg;E, 35.332&deg;S",w00077,7533,253,28-02-2019,NSW Department of Industry Lands and Water,March to February,Existing,01-01-1950,32,410061,101,36.9,650,Adelong Creek,0.69
1236,2.96,NSW,410062,726,0,0.12,669.8,Mar to Feb,Numeralla School,"149.349&deg;E, 36.179&deg;S",w00077,63632,111,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,02-06-1964,62,410062,206,74.6,510,Numeralla River,1.44
1887,3.41,NSW,410088,637,24,5.65,432.1,Mar to Feb,Brindabella (No.2 and No.3-Cab,"148.730&deg;E, 35.420&deg;S",w00077,34743,357,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,01-08-1959,50,410088,422,154,1250,Goodradigbee River,0.5
889,0,NSW,410091,171,0,0.75,2808,Mar to Feb,Walbundrie,"146.720&deg;E, 35.690&deg;S",w00077,42469,40,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,14-05-1981,130,410091,326,113,718,Billabong Creek,0.98
1616,8.56,NSW,410141,664,0,0.24,189.8,Mar to Feb,Michelago,"149.149&deg;E, 35.705&deg;S",w00077,3887,37,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,22-05-1982,33,410141,18.9,7.05,952,Micaligo Creek,1.16
701,8.89,NSW,410156,245,0,0.07,145.4,Mar to Feb,Book Book,"147.550&deg;E, 35.350&deg;S",w00077,6272,68,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,12-07-1985,28,410156,26.9,9.9,456,Kyeamba Creek,1.07
1185,0,NSW,411003,729,0,7.72,61.1,Mar to Feb,Butmaroo,"149.542&deg;E, 35.257&deg;S",w00077,4788,80,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,02-01-1979,18,411003,13.4,4.91,456,Butmaroo Creek,0.97
1199,2.64,NSW,412028,421,0,1.31,2631,Mar to Feb,Abercrombie,"149.325&deg;E, 33.955&deg;S",w00077,102879,110,10-12-2014,NSW Department of Industry Lands and Water,March to February,Decommissioned,01-01-1950,140,412028,785,290,778,Abercrombie River,0.91
769,7.05,NSW,412029,325,0,3.79,1552,Mar to Feb,Prossers Crossing,"148.810&deg;E, 34.144&deg;S",w00077,60403,62,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,01-01-1950,96,412029,264,96.7,444,Boorowa River,1.25
1040,7.71,NSW,412050,468,0,6.81,761.9,Mar to Feb,Narrawa North,"149.167&deg;E, 34.311&deg;S",w00077,41624,101,28-02-2019,NSW Department of Industry Lands and Water,March to February,Existing,13-06-1969,77,412050,214,77.2,572,Crookwell River,0.88
1317,5.57,NSW,412066,549,0,1.03,1630,Mar to Feb,Hadley No.2,"149.598&deg;E, 34.113&deg;S",w00077,60629,101,28-02-2019,NSW Department of Industry Lands and Water,March to February,Existing,23-06-1960,88,412066,466,165,768,Abercrombie River,0.88
1325,11.49,NSW,416003,650,0,0.07,552.6,Mar to Feb,Clifton,"151.727&deg;E, 29.029&deg;S",w00077,67916,62,28-02-2019,NSW Department of Industry Lands and Water,March to February,Existing,06-09-1978,79,416003,94.9,34.4,675,Tenterfield Creek,1.17
1437,2.24,NSW,416010,423,0,0.48,2134,Mar to Feb,Wallangra,"150.898&deg;E, 29.264&deg;S",w00077,120020,55,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,30-06-1973,113,416010,324,118,1014,Macintyre River,0.99
1437,0,NSW,416016,592,0,0.44,751.2,Mar to Feb,Inverell (Middle Ck),"151.126&deg;E, 29.794&deg;S",w00077,39166,74,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,20-07-1971,66,416016,153,55.3,845,Macintyre River,1.03
699,21.74,NSW,416020,343,0,0.76,383.9,Mar to Feb,Coolatai,"150.758&deg;E, 29.234&deg;S",w00077,16619,31,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,10-11-1978,47,416020,32.6,11.9,356,Ottleys Creek,1.12
1481,13.32,NSW,416023,772,0,0.63,538.5,Mar to Feb,Bolivia,"151.923&deg;E, 29.293&deg;S",w00077,27028,68,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,08-03-1978,56,416023,100,36.5,709,Deepwater River,0.87
1508,6.19,NSW,416032,379,0,0.78,1592,Mar to Feb,Donaldson,"151.599&deg;E, 29.017&deg;S",w00077,77003,69,28-02-2019,NSW Department of Industry Lands and Water,March to February,New,11-07-1969,97,416032,298,110,1129,Mole River,0.94
1185,0,NSW,418005,747,0,0.06,249.3,Mar to Feb,Kimberley,"151.114&deg;E, 29.917&deg;S",w00077,9957,80,28-02-2019,NSW Department of Industry Lands and Water,March to February,Existing,15-10-1970,44,418005,58.4,20,438,Copes Creek,1.01
